anchors,bucket,case_index,graph_folded,graph_max_offset_m,ppo_better,ppo_folded,ppo_max_offset_m,ppo_minus_graph_m
50,Office >=16,56,0,0.3054250546879452,1,0,0.30450505397774325,-0.0009200007102019292
16,Office >=16,57,0,0.1819427436621696,1,0,0.18194153788215583,-1.2057800137521557e-06
18,Office >=16,58,0,0.16687226526958102,1,0,0.16685656183519543,-1.5703434385588855e-05
21,Office >=16,59,0,0.1323335097629553,1,0,0.1323283660711555,-5.143691799797123e-06
27,Office >=16,60,0,0.33968209674386585,0,0,0.33981242050726845,0.00013032376340260665
34,Office >=16,61,0,0.1825475348737052,0,0,0.1825502538597198,2.7189860145881983e-06
47,Office >=16,62,0,0.21643330616502915,1,0,0.21632700169004318,-0.00010630447498596873
34,Office >=16,63,0,0.22583409090926804,1,0,0.22578636177060732,-4.772913866071815e-05
16,Office >=16,64,0,0.10462601356810039,1,0,0.10461417178803237,-1.1841780068022612e-05
23,Office >=16,65,0,0.15453709990633402,0,0,0.15457384596497503,3.674605864101288e-05
17,Office >=16,66,0,0.1555275034901906,1,0,0.15551841019138452,-9.093298806078787e-06
16,Office >=16,67,0,0.11727386516815827,1,0,0.11726962870056784,-4.236467590429394e-06
42,Office >=16,68,0,1.803717211236061,1,0,1.8017665645460827,-0.0019506466899783526
16,Office >=16,69,0,0.13752647325491996,0,0,0.13754719890247372,2.072564755375983e-05
16,Office >=16,70,0,0.11314512215833464,1,0,0.11312842655680969,-1.6695601524951975e-05
21,Office >=16,71,0,0.09934669809638731,1,0,0.09934364931313781,-3.0487832494985323e-06
16,Office >=16,72,0,0.08584673893999556,1,0,0.08583786954798049,-8.869392015067867e-06
16,Office >=16,73,0,0.061632645409240114,1,0,0.06163131470150173,-1.3307077383825638e-06
32,Office >=16,74,0,0.1629708332598523,1,0,0.16287759680504474,-9.323645480754927e-05
17,Office >=16,75,0,0.10103377496137468,1,0,0.10101392075989654,-1.9854201478139433e-05
16,Office >=16,76,0,0.14863593938812195,1,0,0.14857329979696612,-6.263959115582196e-05
16,Office >=16,77,0,0.24222349640824153,1,0,0.242192362587535,-3.113382070654702e-05
16,Office >=16,78,0,0.11098385306501934,1,0,0.11098098025608671,-2.8728089326301998e-06
22,Office >=16,79,0,0.18428281805627056,0,0,0.18428518196450613,2.363908235575307e-06
